0,13,2.16906,-0.146931,-2.61213,-14.2592,13,13,13
1,13,0.994273,-2.69625,-3.3748,-241.692,13,20,20
2,13,-1.70985,3.53139,0.751783,-175.236,12,19,19
3,13,-3.14242,-1.03524,-4.48956,-14.5361,13,19,18
4,13,3.61334,-0.48515,-1.95515,-0.949751,13,13,13
5,13,3.70171,-2.59857,0.682077,-1.05141,13,20,13
6,13,-3.41267,3.13182,2.63987,-1.11283,13,19,19
7,13,-2.41615,-1.20994,0.438265,-1.18682,13,19,18
8,13,1.36222,-0.00970671,8.93077,-0.685792,13,13,13
9,13,0.772758,-3.76797,9.47,-0.877447,13,20,20
10,13,-1.87968,3.4132,14.0849,-1.03612,13,19,19
11,13,-3.58454,-2.63194,14.4701,-81.5674,13,19,18
12,13,1.91659,0.733681,16.2871,-67.413,13,13,13
13,13,1.92775,-2.08501,14.4259,-1.1796,13,20,20
14,14,-2.78969,3.18722,18.4519,-61.0695,14,19,19
15,14,-3.48291,-2.51657,11.7253,-54.2658,14,19,19
16,15,1.81572,0.849375,9.04126,-0.727919,15,13,13
17,15,0.431408,-2.12729,8.76668,-0.721402,15,20,20
18,15,-1.55624,4.03499,13.1022,-0.905025,15,19,19
19,15,-1.39437,0.093153,12.7686,-0.64542,15,19,19
20,15,3.05274,-0.394945,14.8594,-0.870052,15,13,13
21,15,1.65339,-2.72602,15.4946,-1.07455,15,20,20
22,15,-2.03357,2.96466,18.7597,-1.01662,15,19,19
23,15,-3.25467,-1.71459,13.3883,-0.999178,15,19,18
24,16,2.0878,-0.0673425,10.37,-0.765476,16,13,13
25,16,1.44602,-2.24047,9.30814,-1.09928,16,20,20
26,16,-2.07024,3.14838,13.8158,-1.01378,16,19,19
27,15,-2.47925,-1.15853,13.6993,-1.01223,15,19,18
28,15,2.02211,0.750655,15.2565,-0.757216,15,13,13
29,15,1.28023,-2.57362,15.1191,-1.04955,15,20,20
30,15,-1.91814,4.01676,13.5206,-0.996958,15,19,19
31,15,-1.64617,-0.757183,12.4511,-0.951648,15,19,19
32,14,1.68491,1.08649,8.77906,-0.749731,14,13,13
33,15,1.87179,-2.73183,8.79706,-1.48467,15,20,20
34,17,-2.2123,2.87706,12.279,-7.71025,17,19,19
35,17,-3.17666,-2.08046,7.17432,-0.883114,17,19,18
36,17,1.88237,0.0747991,9.84842,-1.39596,17,13,13
37,15,1.60272,-2.77491,9.2886,-1.10128,15,20,20
38,14,-1.92554,3.11961,6.38677,-1.06356,14,19,19
39,15,-3.18564,-1.48901,1.77068,-1.0067,15,19,18
40,16,0.88686,0.477642,3.15973,14.003027684459429,15,19,18
